,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4493,8606-OEGQZ,1,0,0,1,18,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,25.3,454.65,0
6390,6994-FGRHH,0,0,1,1,70,1,0,3,0,1,1,1,1,1,2,1,1,106.15,7475.1,0
3966,8915-NNTRC,0,0,1,1,72,1,1,3,1,1,0,1,1,1,3,1,4,107.7,7919.8,0
982,2483-XSSMZ,1,0,0,0,39,1,0,1,1,0,0,0,0,0,2,1,1,47.85,1886.4,0
4211,2034-CGRHZ,0,1,0,0,24,1,1,3,0,1,1,0,1,1,1,1,4,102.95,2496.7,1
5739,4199-QHJNM,0,1,1,0,67,1,1,3,0,1,0,1,1,1,3,0,3,102.9,6989.7,0
1654,2967-MXRAV,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,18.8,18.8,0
7002,9586-JGQKH,1,0,1,0,64,1,1,3,0,1,0,1,1,1,3,1,3,105.4,6794.75,0
3874,4570-QHXHL,1,0,0,0,9,1,0,1,0,0,0,0,0,0,1,1,1,43.75,405.7,0
3807,8625-AZYZY,0,0,1,0,24,1,1,3,0,1,1,0,1,1,1,1,1,104.65,2542.45,1
103,5386-THSLQ,1,1,1,0,66,0,-1,1,0,1,1,0,1,0,2,0,3,45.55,3027.25,0
3716,6688-UZPWD,1,0,1,0,11,1,1,3,0,1,0,0,1,1,1,1,1,102.0,1145.35,1
3881,2176-OSJUV,0,0,1,0,71,1,1,1,1,1,0,1,0,0,3,0,3,65.15,4681.75,0
241,6614-FHDBO,0,0,0,0,72,1,1,3,0,1,1,1,1,1,3,0,3,109.2,7878.3,0
1003,8917-FAEMR,1,0,0,0,37,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,19.85,784.25,0
5813,8099-MZPUJ,0,0,1,1,48,1,1,3,1,1,1,1,1,1,3,0,4,111.8,5443.65,0
4406,3714-XPXBW,1,0,0,0,37,1,1,1,1,1,1,1,1,0,1,1,4,78.9,2976.95,0
643,4908-XAXAY,1,1,0,0,49,1,0,3,0,1,1,0,0,1,2,1,3,89.85,4287.2,0
3974,9592-ERDKV,0,0,1,0,37,1,1,1,1,0,1,0,1,1,2,0,2,79.25,2911.8,0
413,5973-EJGDP,0,0,0,0,51,1,1,3,0,1,1,1,0,0,1,1,1,87.35,4473,0
993,9108-EQPNQ,1,0,1,1,10,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,26.1,225.55,0
4634,9426-SXNHE,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,1,0,3,18.75,53.15,0
5835,4641-FROLU,1,0,1,1,30,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,19.3,602.9,0
3929,9702-AIUJO,0,0,1,1,50,1,0,1,0,0,0,0,0,0,2,1,3,44.8,2230.85,0
507,7218-HKQFK,0,0,1,0,2,1,0,3,0,0,0,1,1,1,1,1,1,94.2,167.5,1
5611,6847-KJLTS,1,1,1,0,58,1,1,3,0,0,0,1,1,1,1,1,3,100.4,5749.8,0
4109,0746-JTRFU,0,0,0,0,2,0,-1,1,0,0,0,0,0,0,1,1,1,25.05,56.35,1
3148,2452-SNHFZ,1,0,0,0,47,1,0,3,1,0,0,0,0,0,1,0,4,75.45,3545.1,0
5199,7245-JMTTQ,1,0,0,0,51,1,1,3,0,1,1,1,1,1,2,1,1,111.5,5703.25,0
801,1450-GALXR,1,0,0,0,10,1,1,3,0,0,0,1,1,1,1,1,1,98.5,1058.25,1
4684,6305-YLBMM,0,0,0,0,69,1,0,3,0,1,1,1,1,1,2,1,3,104.05,7262,1
83,9919-YLNNG,1,0,0,0,42,1,0,3,0,1,1,1,1,1,1,1,3,103.8,4327.5,0
2995,2209-XADXF,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,0,3,25.25,25.25,0
5681,2522-WLNSF,1,1,1,0,34,1,0,1,0,0,1,1,1,0,2,0,3,64.2,2106.3,0
4010,3727-JEZTU,1,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,20.4,20.4,0
1430,6510-UPNKS,1,0,0,0,23,1,1,0,-1,-1,-1,-1,-1,-1,2,0,4,24.8,615.35,0
3352,9124-LHCJQ,1,0,0,0,1,1,1,3,0,0,0,0,0,1,1,1,2,85.45,85.45,1
1440,7677-SJJJK,0,0,1,1,8,1,0,0,-1,-1,-1,-1,-1,-1,2,0,4,19.9,153.95,0
120,1091-SOZGA,1,0,1,1,56,1,1,3,0,0,1,0,1,1,2,1,4,99.8,5515.45,0
4583,2400-XIWIO,1,0,1,0,71,1,1,1,1,1,1,1,1,1,3,0,1,90.1,6310.9,0
6753,4114-QMKVN,1,0,1,1,56,1,1,1,1,1,0,0,0,1,2,0,3,68.75,3815.4,0
1566,4751-ERMAN,0,0,1,1,72,1,0,1,0,1,1,0,1,1,3,1,3,75.4,5480.25,0
6901,2925-MXLSX,1,0,0,0,30,1,1,1,0,1,1,0,1,0,2,1,4,68.95,2038.7,0
4988,1439-LCGVL,1,0,1,0,26,1,0,0,-1,-1,-1,-1,-1,-1,2,0,2,19.2,459.6,0
4953,1627-AFWVJ,1,0,0,0,29,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,19.4,554.25,0
647,2391-IPLOP,0,0,1,1,50,1,1,1,0,0,1,1,1,0,2,1,1,69.65,3442.15,0
4937,0930-EHUZA,1,0,0,0,36,1,0,1,1,1,1,1,1,0,2,1,2,76.35,2606.35,0
6588,3389-KTRXV,1,0,1,1,23,1,1,0,-1,-1,-1,-1,-1,-1,3,0,2,23.85,625.65,0
660,5650-VDUDS,1,0,0,0,4,0,-1,1,0,0,0,0,0,0,1,1,2,24.25,96.05,1
271,7633-MVPUY,0,0,1,0,57,1,0,1,1,1,0,1,0,0,3,1,1,59.75,3450.15,0
4121,0576-WNXXC,0,1,1,0,27,1,1,3,0,1,1,0,0,1,1,1,1,95.55,2510.2,1
6465,8164-OCKUJ,1,0,1,1,59,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,20.6,1286,0
6850,0531-XBKMM,0,0,0,1,66,1,1,1,1,1,0,1,0,0,3,0,3,65.7,4378.9,0
3401,4299-OPXEJ,1,0,0,0,56,1,0,0,-1,-1,-1,-1,-1,-1,3,1,3,19.55,1080.55,0
923,9199-PWQVC,1,0,1,0,63,1,1,1,1,1,0,0,1,1,2,1,4,79.7,4786.15,0
1756,0134-XWXCE,1,1,0,0,44,1,0,1,0,0,1,1,1,1,2,0,3,74.85,3268.05,0
1028,8436-BJUMM,0,0,1,1,26,1,1,3,0,0,0,0,1,0,1,1,1,83.75,2070.6,1
6090,9625-QNLUX,0,0,1,1,68,1,0,3,1,1,1,0,1,1,3,1,4,103.25,7074.4,0
3449,5473-KHBPS,1,0,1,1,52,1,1,3,0,1,1,0,1,0,2,1,4,95.7,4976.15,0
6872,5297-MDOIR,1,0,1,0,63,1,0,3,1,0,1,0,0,0,2,1,4,81.15,5224.5,0
2641,8250-ZNGGW,1,1,0,0,5,1,0,1,1,1,0,1,0,0,1,0,4,59.9,287.85,0
5401,5124-EOGYE,0,0,0,0,31,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,20.45,638.55,0
737,2521-NPUZR,0,0,1,0,70,1,0,3,1,1,1,1,0,1,3,0,4,101.0,7085.5,0
4871,6848-YLDFR,0,0,1,1,58,1,0,1,0,1,0,1,1,1,2,1,4,75.2,4300.8,0
5084,8966-OIQHG,1,0,1,1,22,1,0,0,-1,-1,-1,-1,-1,-1,2,0,3,20.75,452.35,0
2627,4213-HKBJO,1,0,0,0,33,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,25.7,826.1,0
6253,6128-DAFVY,1,0,0,0,56,0,-1,1,0,0,0,0,1,1,1,1,4,44.85,2564.95,0
2692,5445-GLVOT,1,0,0,0,22,1,0,1,1,0,0,0,0,0,1,1,1,49.8,1049.05,0
3837,3932-CMDTD,1,0,0,0,4,1,0,3,0,1,1,1,1,1,2,1,1,105.65,443.9,1
4137,7777-UNYHB,1,0,1,1,12,1,0,0,-1,-1,-1,-1,-1,-1,1,1,4,20.1,232.4,0
4740,2778-OCLGR,0,1,1,0,24,0,-1,1,1,0,0,0,0,1,1,0,3,39.1,971.3,1
1537,2091-GPPIQ,1,0,1,1,72,1,1,1,0,1,0,1,1,1,3,1,1,78.95,5730.15,0
2260,6204-IEUXJ,1,0,0,0,3,1,0,3,0,0,1,1,0,0,1,0,4,80.1,217.55,1
5619,4619-EVPHY,1,1,1,0,20,1,0,3,0,0,0,0,1,1,2,1,3,91.0,1859.5,0
2658,7473-ZBDSN,1,0,1,1,14,1,0,0,-1,-1,-1,-1,-1,-1,3,0,2,18.8,255.55,0
2320,1187-WILMM,0,0,1,1,63,1,1,1,1,1,1,1,1,1,3,1,4,89.4,5597.65,0
184,1918-ZBFQJ,1,0,0,0,13,1,0,3,0,1,1,0,0,0,1,1,1,79.25,1111.65,1
6320,8845-LWKGE,1,0,1,1,30,1,0,1,0,0,1,1,1,0,2,1,1,64.5,1985.15,0
5969,4673-KKSLS,1,0,0,0,31,1,0,3,1,0,1,1,0,0,1,0,1,87.6,2724.25,0
6703,2737-WFVYW,1,0,0,0,2,0,-1,1,0,0,0,0,1,1,1,1,1,45.25,85.5,1
714,4312-KFRXN,0,0,1,0,72,1,1,0,-1,-1,-1,-1,-1,-1,3,0,2,25.4,1710.9,0
5017,2073-QBVBI,1,0,1,0,41,0,-1,1,0,1,0,1,0,0,2,0,2,35.45,1391.65,0
149,3466-BYAVD,0,0,1,1,15,1,0,1,0,1,1,1,0,1,1,1,2,69.5,1071.4,0
617,7134-MJPDY,1,1,0,0,66,1,1,3,0,0,1,1,1,1,2,1,4,102.85,6976.75,0
2800,0519-DRGTI,1,0,1,1,20,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,20.35,442.6,0
5002,0567-XRHCU,1,0,1,1,69,0,-1,1,1,0,1,0,0,1,3,1,4,43.95,2960.1,0
1444,5514-YQENT,0,0,0,1,41,1,0,3,1,1,1,1,1,1,3,1,1,111.15,4507.15,0
2541,0739-UUAJR,1,0,1,1,72,0,-1,1,1,0,1,0,1,1,3,1,4,53.8,3952.45,0
2472,3200-MNQTF,0,0,1,0,67,1,1,1,1,1,1,1,0,0,3,0,4,70.9,4677.1,0
4166,5917-RYRMG,0,1,0,0,32,1,0,0,-1,-1,-1,-1,-1,-1,2,0,4,19.8,587.7,0
4876,5923-GXUOC,0,0,0,0,10,1,0,3,1,1,1,0,1,1,1,1,1,104.4,1081.45,1
3456,0436-TWFFZ,1,0,0,0,67,1,1,1,1,0,1,1,1,1,3,1,2,85.25,5714.2,0
6639,4816-OKWNX,0,0,1,1,50,1,0,3,0,1,1,1,1,1,2,1,3,103.4,5236.4,0
4965,9239-ZBZZV,1,0,0,0,6,0,-1,1,0,0,1,0,1,1,1,1,1,47.95,305.1,1
5155,8294-UIMBA,1,0,0,0,30,1,0,3,0,0,0,1,1,1,2,1,3,94.4,2638.1,0
440,0771-WLCLA,1,0,1,1,16,1,1,3,1,0,1,1,1,1,1,1,1,112.95,1882.55,0
4755,8849-AYPTR,0,0,1,0,33,1,0,3,0,0,0,0,1,1,1,0,1,91.25,2964.05,0
2986,1303-SRDOK,1,0,1,1,55,1,0,3,0,0,0,0,0,0,3,1,4,69.05,3842.6,0
2705,4231-LZUYM,1,0,1,0,72,1,1,0,-1,-1,-1,-1,-1,-1,3,0,3,25.65,1887,0
6911,0508-SQWPL,1,0,1,1,57,1,0,0,-1,-1,-1,-1,-1,-1,3,1,3,20.1,1087.7,0
5733,4817-KEQSP,1,0,1,1,71,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,19.85,1326.35,0
6215,2446-BEGGB,1,1,0,0,6,1,1,3,0,1,0,0,1,1,1,1,1,98.25,560.6,1
3803,2533-QVMSK,0,0,1,0,61,1,1,3,0,1,0,1,1,0,3,1,1,94.1,5638.3,1
4936,3898-GUYTS,1,1,0,0,45,1,1,3,1,1,0,1,1,0,1,1,1,97.05,4385.05,0
1416,4859-ZSRDZ,1,0,1,1,58,0,-1,1,0,0,1,1,1,1,3,1,4,55.5,3166.9,0
3305,5144-TVGLP,0,1,0,0,38,1,1,3,0,0,0,0,1,1,1,0,1,94.75,3653,0
2467,6559-RAKOZ,0,0,1,1,49,1,1,3,0,0,0,1,1,1,2,1,1,97.95,4917.9,0
6495,7254-IQWOZ,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,69.65,69.65,1
5847,9391-YZEJW,1,0,0,0,62,1,1,3,0,0,0,0,1,1,2,1,3,94.0,5757.2,0
2956,5649-RXQTV,0,0,0,0,51,1,0,3,0,1,1,0,1,1,1,1,1,99.0,5038.15,0
2105,0925-VYDLG,1,0,0,0,3,1,1,3,0,0,0,0,0,0,1,0,1,75.25,242,1
3264,6818-DJXAA,1,0,0,1,10,1,0,3,0,0,1,1,1,0,1,1,1,91.1,964.35,0
2607,5539-TMZLF,0,1,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,69.75,69.75,1
3600,8623-TMRBY,0,1,1,1,51,1,1,3,0,1,1,0,0,0,1,1,1,84.2,4146.05,1
975,2834-JRTUA,0,0,0,0,71,1,1,3,1,0,1,1,1,1,3,1,1,108.05,7532.15,1
5779,2237-ZFSMY,1,0,0,0,39,1,0,3,1,0,1,1,1,0,2,1,1,95.55,3692.85,1
2489,1032-MAELW,1,0,1,1,68,1,1,1,1,1,1,1,0,1,2,1,1,78.45,5333.35,0
915,6513-EECDB,0,1,1,0,1,1,1,3,0,0,0,0,0,0,1,1,1,73.55,73.55,1
4623,8755-IWJHN,0,1,1,0,69,1,1,3,0,1,1,0,0,1,1,1,3,95.35,6382,0
2031,5349-AZPEW,1,0,1,1,5,0,-1,1,0,0,0,0,0,0,1,0,2,25.05,125.5,0
112,5712-AHQNN,1,0,0,0,43,1,0,3,0,1,1,0,1,0,1,1,1,91.65,3954.1,0
3925,9938-ZREHM,1,0,1,0,37,1,1,1,0,1,0,1,0,1,2,0,2,72.1,2658.4,0
215,0699-NDKJM,1,0,1,0,57,0,-1,1,1,1,1,0,1,1,1,1,3,58.75,3437.45,0
6401,0807-ZABDG,1,0,0,1,3,1,0,1,1,0,0,1,0,0,1,1,2,55.1,154.65,1
1138,0774-IFUVM,0,0,1,1,11,1,1,1,1,0,0,0,1,0,1,1,3,65.15,723.35,0
4282,5811-IWXYM,1,0,1,1,52,1,1,3,0,0,1,0,1,1,2,0,3,101.25,5301.1,0
4123,8910-LEDAG,0,1,1,0,34,1,0,3,0,0,0,0,0,0,1,0,4,71.55,2427.35,0
1660,1171-TYKUR,0,0,1,0,47,1,1,0,-1,-1,-1,-1,-1,-1,1,0,1,25.4,1139.2,0
6138,4833-QTJNO,0,1,1,0,67,1,1,3,1,1,0,0,0,0,1,0,3,83.85,5588.8,0
6142,3982-XWFZQ,1,0,1,0,42,1,1,1,0,0,0,0,0,0,1,1,1,50.25,2203.65,1
2086,2955-BJZHG,0,0,1,1,17,1,0,3,0,0,0,0,1,0,1,0,1,80.85,1400.85,1
6043,6338-AVWCY,0,0,0,0,3,0,-1,1,0,0,1,0,1,0,1,1,2,40.15,130.75,1
6907,1041-RXHRA,1,0,0,0,41,1,0,3,0,0,0,0,0,0,1,0,3,70.25,2868.05,1
6985,6967-PEJLL,0,0,1,1,37,0,-1,1,1,0,1,1,0,0,2,1,1,40.2,1525.35,0
1664,4829-AUOAX,1,0,0,0,46,1,1,3,0,0,0,0,1,1,1,0,3,96.05,4399.5,1
2280,2754-SDJRD,1,1,0,0,8,1,1,3,0,0,0,1,1,1,1,1,4,100.15,908.55,0
3718,8468-EHYJA,1,0,1,0,57,1,1,3,1,0,0,0,1,1,1,1,1,99.65,5497.05,0
594,9244-ZVAPM,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,45.6,45.6,0
3279,6064-PUPMC,0,0,1,1,23,1,0,1,1,0,0,1,0,0,2,0,4,57.2,1423.35,0
298,2985-JUUBZ,0,0,1,1,40,1,1,1,0,0,1,0,1,1,1,1,1,74.55,3015.75,0
1276,7005-CYUIL,1,1,1,0,71,1,0,3,1,1,1,1,1,0,3,1,1,99.4,7168.25,0
